Company,ADF Statistic,p-value,Stationary
AAPL.O,-23.527296744353094,0.0,True
ADBE.O,-30.62954242952731,0.0,True
ADI.O,-34.72181368522853,0.0,True
ADSK.O,-17.19704021740531,6.496258963340282e-30,True
AMAT.O,-34.03021055129879,0.0,True
AMD.O,-32.02273894388138,0.0,True
ANSS.O,-31.804738436666323,0.0,True
APP.O,-29.023055696535376,0.0,True
ASML.O,-32.856355223718296,0.0,True
AVGO.O,-17.5137977508064,4.321107103551563e-30,True
CDNS.O,-23.616320045846436,0.0,True
CDW.O,-31.32896092743919,0.0,True
CRWD.O,-15.479949120989916,2.563966219221165e-28,True
CTSH.O,-11.014405456690014,6.208762016408166e-20,True
DASH.O,-10.42208699668889,1.6943336147559978e-18,True
DDOG.O,-32.20479789716159,0.0,True
FTNT.O,-32.95454735645654,0.0,True
GFS.O,-27.154739021435876,0.0,True
GOOG.O,-19.750076489669777,0.0,True
GOOGL.O,-19.784053515156554,0.0,True
INTC.O,-30.742950550523986,0.0,True
INTU.O,-31.82030945860345,0.0,True
KLAC.O,-34.09775333529514,0.0,True
LRCX.O,-33.691106949950395,0.0,True
MCHP.O,-34.74164823251949,0.0,True
MDB.O,-30.29299944229998,0.0,True
META.O,-31.973941951025605,0.0,True
MRVL.O,-33.29609131627195,0.0,True
MSFT.O,-24.516175378165315,0.0,True
MSTR.O,-9.483434034061164,3.818385504650485e-16,True
MU.O,-32.30971489679805,0.0,True
NVDA.O,-32.60176025324345,0.0,True
NXPI.O,-35.03934020710612,0.0,True
ON.O,-33.48332995635151,0.0,True
PANW.O,-17.878336501779508,3.009105356827311e-30,True
PDD.O,-19.486036192385704,0.0,True
PLTR.O,-17.97497818308341,2.7873542439999992e-30,True
QCOM.O,-33.78638896793051,0.0,True
ROP.O,-24.09469242650353,0.0,True
SNPS.O,-23.37328620353448,0.0,True
TEAM.O,-32.03641539080388,0.0,True
TXN.O,-35.48015499211046,0.0,True
WDAY.O,-31.524516756961077,0.0,True
ZS.O,-31.310856154830788,0.0,True
