number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_lambda_l2,params_learning_rate,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,user_attrs_Company,state,Company
0,58.723135005866475,2025-04-30 15:20:50.896160,2025-04-30 15:20:50.967787,0 days 00:00:00.071627,0.907570589375438,0.00978130104103429,0.07997973960831509,31,0.1630112077291721,51,AAPL.O,COMPLETE,AAPL.O
1,58.63775880613423,2025-04-30 15:20:50.972502,2025-04-30 15:20:51.053870,0 days 00:00:00.081368,0.9863476713911921,0.1480919063432012,0.06736477710510158,15,0.2544463853796163,71,AAPL.O,COMPLETE,AAPL.O
2,59.071225608373915,2025-04-30 15:20:51.064845,2025-04-30 15:20:51.138111,0 days 00:00:00.073266,0.6226850339771185,3.1125144524035964,0.04271053502295308,29,0.12086295809676256,110,AAPL.O,COMPLETE,AAPL.O
3,58.79559432126201,2025-04-30 15:20:51.142273,2025-04-30 15:20:51.297005,0 days 00:00:00.154732,0.7745260811818807,0.0012958286921157653,0.008890488391821126,87,0.21889044350482884,77,AAPL.O,COMPLETE,AAPL.O
4,58.569811581135276,2025-04-30 15:20:51.304500,2025-04-30 15:20:51.361418,0 days 00:00:00.056918,0.7001730060413672,0.017823588080398935,0.06321728551180052,41,0.368291930229865,75,AAPL.O,COMPLETE,AAPL.O
5,58.66099126925782,2025-04-30 15:20:51.366511,2025-04-30 15:20:51.483593,0 days 00:00:00.117082,0.7584710621733705,0.013421021672129206,0.015849530234631433,75,0.41873797358301335,67,AAPL.O,COMPLETE,AAPL.O
6,58.83594586803495,2025-04-30 15:20:51.491045,2025-04-30 15:20:51.680565,0 days 00:00:00.189520,0.8851930624874729,0.0007851536125335946,0.00522683723258052,93,0.23196408709811978,20,AAPL.O,COMPLETE,AAPL.O
7,58.75480539778275,2025-04-30 15:20:51.686445,2025-04-30 15:20:51.781134,0 days 00:00:00.094689,0.9001086400788658,0.005257968794251351,0.04488164520882599,16,0.2562565622675547,40,AAPL.O,COMPLETE,AAPL.O
8,58.642501882318435,2025-04-30 15:20:51.788289,2025-04-30 15:20:52.039080,0 days 00:00:00.250791,0.8096543617659139,0.005187522862702816,0.006930204438217861,77,0.008339400788523244,106,AAPL.O,COMPLETE,AAPL.O
9,59.09654480926554,2025-04-30 15:20:52.047261,2025-04-30 15:20:52.174656,0 days 00:00:00.127395,0.6663602019040561,0.00017783113612960378,0.006143306137800094,82,0.11752758310093553,54,AAPL.O,COMPLETE,AAPL.O
10,58.836402034180175,2025-04-30 15:20:52.180236,2025-04-30 15:20:52.303453,0 days 00:00:00.123217,0.7024013070838369,0.21075566024380157,0.023336820790571776,54,0.4607877766813586,90,AAPL.O,COMPLETE,AAPL.O
11,58.808584343624496,2025-04-30 15:20:52.309222,2025-04-30 15:20:52.376325,0 days 00:00:00.067103,0.9721557983170941,0.2193706600510075,0.09602521024249132,47,0.35198533814039584,82,AAPL.O,COMPLETE,AAPL.O
12,58.834565261030065,2025-04-30 15:20:52.380504,2025-04-30 15:20:52.543389,0 days 00:00:00.162885,0.9975643295601344,0.11910736542284285,0.05226666481800177,10,0.3298011470271247,126,AAPL.O,COMPLETE,AAPL.O
13,58.80395418182029,2025-04-30 15:20:52.552523,2025-04-30 15:20:52.648824,0 days 00:00:00.096301,0.7129468836916516,1.9176250827914072,0.028261728580233663,36,0.35031804255798304,64,AAPL.O,COMPLETE,AAPL.O
14,58.656986562400014,2025-04-30 15:20:52.655556,2025-04-30 15:20:52.738446,0 days 00:00:00.082890,0.8232006927513151,0.043173766063296724,0.057456811675987395,21,0.49419039312193264,94,AAPL.O,COMPLETE,AAPL.O
15,58.765417318461466,2025-04-30 15:20:52.744695,2025-04-30 15:20:52.826747,0 days 00:00:00.082052,0.6364503789030803,0.8068971415026148,0.0321177585708995,64,0.3043321900071816,36,AAPL.O,COMPLETE,AAPL.O
16,58.648333073268454,2025-04-30 15:20:52.836594,2025-04-30 15:20:52.994979,0 days 00:00:00.158385,0.7205549701838986,0.04968251903069649,0.016527557769754425,42,0.4082200208873655,65,AAPL.O,COMPLETE,AAPL.O
