Company,num_leaves,learning_rate,feature_fraction,min_data_in_leaf,lambda_l2,min_gain_to_split,value
AAPL.O,75,0.063217,0.700173,41,0.017824,0.368292,58.56981158113528
ADBE.O,40,0.040401,0.857436,19,0.00257,0.233658,43.91390279774796
ADI.O,98,0.034332,0.669594,53,0.000678,0.408301,47.805906243322426
ADSK.O,127,0.064109,0.690908,100,0.089173,0.481609,35.96842762248655
AMAT.O,52,0.019149,0.922815,28,0.000104,0.360891,70.73790636167904
AMD.O,29,0.053224,0.639257,48,0.012191,0.417574,49.392751071140914
ANSS.O,86,0.043678,0.650509,54,0.514695,0.132067,17.60998565990388
APP.O,107,0.070761,0.716073,19,0.002022,0.002009,135.2308192043083
ASML.O,128,0.067662,0.795504,91,1.625899,0.269472,227.1571287769339
AVGO.O,89,0.09311,0.974419,10,0.007219,0.477233,94.78203015521888
CDNS.O,77,0.052249,0.93845,41,0.005359,0.260681,97.17345351330374
CDW.O,46,0.096997,0.642204,37,1.897827,0.165511,36.42925729358959
CRWD.O,79,0.034144,0.99783,44,3.332654,0.382567,124.85768410278033
CTSH.O,116,0.025706,0.997748,11,0.017409,0.00722,5.03792314787428
DASH.O,111,0.096779,0.846548,100,0.021936,0.207773,33.830574099786034
DDOG.O,111,0.090406,0.96818,12,0.000156,0.362559,21.102551985621588
FTNT.O,112,0.040549,0.645124,91,0.009925,0.327828,20.338918776652427
GFS.O,89,0.036304,0.897302,27,0.494607,0.23651,12.99099007489848
GOOG.O,80,0.06885,0.819346,47,0.000463,0.259554,48.76839512783207
GOOGL.O,88,0.009088,0.918322,43,0.128005,0.107671,48.11433858458985
INTC.O,73,0.008324,0.820128,34,0.123052,0.285554,16.785086702482864
INTU.O,43,0.034241,0.923774,100,8.293579,0.241502,144.92322914962185
KLAC.O,21,0.099338,0.850492,44,0.002555,0.499416,323.453244921613
LRCX.O,114,0.057696,0.781295,42,0.002968,0.287059,28.47529682871817
MCHP.O,32,0.03993,0.819764,10,0.016397,0.391266,11.632256781879756
MDB.O,83,0.007299,0.689065,29,8.149435,0.332926,69.48877860626199
META.O,59,0.045239,0.757438,26,0.006053,0.350584,250.7746697836225
MRVL.O,123,0.096974,0.986704,34,0.000154,0.203288,24.789522442563413
MSFT.O,118,0.009551,0.888021,17,0.000192,0.138285,124.96381643143752
MSTR.O,28,0.046217,0.936126,77,0.851999,0.241161,171.1373121834017
MU.O,47,0.03569,0.847116,10,0.237533,0.10444,40.79618556437784
NVDA.O,85,0.052931,0.704491,15,0.034612,0.497225,88.8262092427276
NXPI.O,39,0.067863,0.965872,39,0.000876,0.217473,53.71922484206102
ON.O,126,0.097793,0.743123,43,0.003064,0.001047,7.076374293410001
PANW.O,109,0.091663,0.867289,34,6.641745,0.427581,72.51252153785524
PDD.O,73,0.098808,0.769401,56,0.029852,0.138211,34.559644174762646
PLTR.O,69,0.09428,0.852912,54,0.000486,0.087455,26.26490831705672
QCOM.O,47,0.032861,0.632547,27,0.217664,0.153768,43.617122238657245
ROP.O,108,0.00586,0.60348,88,0.000826,0.037822,85.27952071521796
SNPS.O,74,0.014209,0.731086,13,0.563673,0.482395,173.85801613330503
TEAM.O,69,0.009788,0.64942,47,0.898701,0.199176,56.07369449163289
TXN.O,105,0.024288,0.714999,60,0.000326,0.103319,23.443694802461867
WDAY.O,60,0.093904,0.844971,48,0.096923,0.339414,29.504129659146894
ZS.O,29,0.006654,0.698131,21,0.00023,0.396687,13.827287270763122
