,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_lookback,params_units,user_attrs_Company,state,Company
0,13,0.0219636636304554,2025-05-01 09:16:02.635846,2025-05-01 09:16:14.260463,0 days 00:00:11.624617,32,0.4135087869165895,32,1,253,AAPL.O,COMPLETE,AAPL.O
1,21,0.0302163743303734,2025-05-01 09:27:56.384575,2025-05-01 09:28:07.721149,0 days 00:00:11.336574,32,0.2539661264351149,31,1,58,ADBE.O,COMPLETE,ADBE.O
2,26,0.0437404628249952,2025-05-01 09:39:14.858382,2025-05-01 09:39:23.748795,0 days 00:00:08.890413,64,0.3456198714111698,32,1,214,ADI.O,COMPLETE,ADI.O
3,21,0.0252116318890749,2025-05-01 09:51:59.223116,2025-05-01 09:52:08.844831,0 days 00:00:09.621715,32,0.1535190394560983,22,1,127,ADSK.O,COMPLETE,ADSK.O
4,27,0.0400700928984205,2025-05-01 10:14:13.041017,2025-05-01 10:14:52.680683,0 days 00:00:39.639666,32,0.1803375336630236,33,21,179,AMAT.O,COMPLETE,AMAT.O
5,19,0.028565324236458,2025-05-01 10:22:37.818597,2025-05-01 10:22:46.182666,0 days 00:00:08.364069,32,0.2602390766381028,24,1,171,AMD.O,COMPLETE,AMD.O
6,9,0.0267253117772534,2025-05-01 10:28:59.589422,2025-05-01 10:29:26.910795,0 days 00:00:27.321373,32,0.1692894048396011,22,56,71,ANSS.O,COMPLETE,ANSS.O
7,25,0.0250179916763464,2025-05-01 10:47:28.671635,2025-05-01 10:47:36.183041,0 days 00:00:07.511406,32,0.2733846672116322,26,1,118,APP.O,COMPLETE,APP.O
8,14,0.0364134977670647,2025-05-01 10:58:28.456860,2025-05-01 10:58:37.292226,0 days 00:00:08.835366,32,0.3391599947046401,26,1,195,ASML.O,COMPLETE,ASML.O
9,23,0.0296710539219386,2025-05-01 11:13:05.099456,2025-05-01 11:13:12.757803,0 days 00:00:07.658347,64,0.4509561976600603,23,1,210,AVGO.O,COMPLETE,AVGO.O
10,15,0.0317993948304112,2025-05-01 11:20:05.175857,2025-05-01 11:20:13.010691,0 days 00:00:07.834834,32,0.304380834776405,21,1,206,CDNS.O,COMPLETE,CDNS.O
11,21,0.0314531388689205,2025-05-01 09:15:20.835005,2025-05-01 09:15:30.378598,0 days 00:00:09.543593,64,0.4940136686220294,26,1,235,CDW.O,COMPLETE,CDW.O
12,12,0.0324705783182227,2025-05-01 09:26:33.136123,2025-05-01 09:26:41.549202,0 days 00:00:08.413079,32,0.1003678307714219,35,1,137,CRWD.O,COMPLETE,CRWD.O
13,23,0.0237843861221463,2025-05-01 09:40:29.372256,2025-05-01 09:40:41.195350,0 days 00:00:11.823094,32,0.3187418106868323,32,1,230,CTSH.O,COMPLETE,CTSH.O
14,24,0.0133866090860183,2025-05-01 09:52:11.168026,2025-05-01 09:52:19.280042,0 days 00:00:08.112016,32,0.3732156132990283,31,1,154,DASH.O,COMPLETE,DASH.O
15,11,0.0232279266776977,2025-05-01 10:00:05.481324,2025-05-01 10:00:15.049821,0 days 00:00:09.568497,64,0.1487041943655756,34,1,187,DDOG.O,COMPLETE,DDOG.O
16,10,0.0240512454701554,2025-05-01 10:09:11.647922,2025-05-01 10:09:23.039975,0 days 00:00:11.392053,64,0.2869447094663492,29,1,194,FTNT.O,COMPLETE,FTNT.O
17,2,0.0435276863114519,2025-05-01 10:14:15.899571,2025-05-01 10:14:54.112595,0 days 00:00:38.213024,32,0.2881528989701108,28,36,183,GFS.O,COMPLETE,GFS.O
18,14,0.0272886080838814,2025-05-01 10:35:44.593051,2025-05-01 10:35:54.170005,0 days 00:00:09.576954,32,0.3935328962818216,25,1,242,GOOG.O,COMPLETE,GOOG.O
19,21,0.0274196987163191,2025-05-01 10:48:07.272217,2025-05-01 10:48:16.390041,0 days 00:00:09.117824,32,0.3103035857298209,23,1,201,GOOGL.O,COMPLETE,GOOGL.O
20,28,0.0210071793024316,2025-05-01 10:59:09.008931,2025-05-01 10:59:19.382431,0 days 00:00:10.373500,32,0.2257580067608607,23,1,189,INTC.O,COMPLETE,INTC.O
21,10,0.0338195230879662,2025-05-01 11:04:37.183169,2025-05-01 11:04:47.029259,0 days 00:00:09.846090,64,0.1054727577378811,23,1,254,INTU.O,COMPLETE,INTU.O
22,21,0.0364853575801557,2025-05-01 09:14:15.955345,2025-05-01 09:14:23.464986,0 days 00:00:07.509641,32,0.1749934923957959,35,1,104,KLAC.O,COMPLETE,KLAC.O
23,26,0.0309693892875508,2025-05-01 09:25:17.563536,2025-05-01 09:25:29.458450,0 days 00:00:11.894914,64,0.2303619142954186,33,1,159,LRCX.O,COMPLETE,LRCX.O
24,15,0.046571935023166,2025-05-01 09:32:43.630740,2025-05-01 09:32:53.418344,0 days 00:00:09.787604,32,0.1473258751231115,20,1,169,MCHP.O,COMPLETE,MCHP.O
25,15,0.0241759174680648,2025-05-01 09:45:02.973121,2025-05-01 09:45:16.545199,0 days 00:00:13.572078,32,0.3289241446845871,25,1,75,MDB.O,COMPLETE,MDB.O
26,23,0.0198528309625611,2025-05-01 09:57:06.827599,2025-05-01 09:57:13.826465,0 days 00:00:06.998866,32,0.1830631248510303,21,1,140,META.O,COMPLETE,META.O
27,15,0.033950349394851,2025-05-01 10:04:07.835782,2025-05-01 10:04:17.174494,0 days 00:00:09.338712,64,0.4925345568052613,26,1,182,MRVL.O,COMPLETE,MRVL.O
28,21,0.0215016925031567,2025-05-01 10:15:37.720622,2025-05-01 10:15:46.489228,0 days 00:00:08.768606,32,0.4920154304827133,22,1,95,MSFT.O,COMPLETE,MSFT.O
29,27,0.0344165088820752,2025-05-01 10:25:06.199660,2025-05-01 10:25:14.603368,0 days 00:00:08.403708,32,0.3241941183471027,23,1,235,MSTR.O,COMPLETE,MSTR.O
30,23,0.036322338659738,2025-05-01 10:35:39.549478,2025-05-01 10:35:46.669904,0 days 00:00:07.120426,32,0.3813752246785035,28,1,178,MU.O,COMPLETE,MU.O
31,21,0.0290350243214506,2025-05-01 10:42:50.410191,2025-05-01 10:42:57.641559,0 days 00:00:07.231368,64,0.1005166187122237,33,1,195,NVDA.O,COMPLETE,NVDA.O
32,25,0.0371693796019713,2025-05-01 10:56:50.627297,2025-05-01 10:56:59.608633,0 days 00:00:08.981336,32,0.4343981051373836,29,1,131,NXPI.O,COMPLETE,NXPI.O
33,27,0.0279222053556806,2025-05-01 11:26:35.916744,2025-05-01 11:26:55.221919,0 days 00:00:19.305175,32,0.4054855727652202,33,1,182,ON.O,COMPLETE,ON.O
34,11,0.0234208891068581,2025-05-01 11:30:50.313849,2025-05-01 11:31:00.377375,0 days 00:00:10.063526,32,0.1135849783076601,21,1,223,PANW.O,COMPLETE,PANW.O
35,20,0.0265136224663779,2025-05-01 11:45:43.375852,2025-05-01 11:45:53.232964,0 days 00:00:09.857112,32,0.4444958695426148,30,1,164,PDD.O,COMPLETE,PDD.O
36,22,0.020768571051235,2025-05-01 11:52:54.196350,2025-05-01 11:53:00.902279,0 days 00:00:06.705929,32,0.3859623870057826,28,1,246,PLTR.O,COMPLETE,PLTR.O
37,15,0.0367902011814618,2025-05-01 12:01:00.791581,2025-05-01 12:01:07.796783,0 days 00:00:07.005202,32,0.2976593994253296,32,1,227,QCOM.O,COMPLETE,QCOM.O
38,21,0.0295308503418707,2025-05-01 12:16:48.839464,2025-05-01 12:16:59.576630,0 days 00:00:10.737166,64,0.3538447631010825,27,1,224,ROP.O,COMPLETE,ROP.O
39,22,0.0327214278987759,2025-05-01 12:29:07.815686,2025-05-01 12:29:18.047432,0 days 00:00:10.231746,64,0.2325336236776488,26,1,255,SNPS.O,COMPLETE,SNPS.O
40,18,0.017193634157314,2025-05-01 12:39:00.443929,2025-05-01 12:39:09.658883,0 days 00:00:09.214954,32,0.3621630587017221,20,1,172,TEAM.O,COMPLETE,TEAM.O
41,29,0.0429327305024784,2025-05-01 12:57:53.399245,2025-05-01 12:58:04.842118,0 days 00:00:11.442873,64,0.1750553051433156,35,1,219,TXN.O,COMPLETE,TXN.O
42,15,0.0304341576072851,2025-05-01 13:05:14.674911,2025-05-01 13:05:22.698280,0 days 00:00:08.023369,32,0.4865460268720911,29,1,95,WDAY.O,COMPLETE,WDAY.O
43,16,0.0166037773369401,2025-05-01 13:16:31.282517,2025-05-01 13:16:40.211350,0 days 00:00:08.928833,32,0.1717298780534997,32,1,227,ZS.O,COMPLETE,ZS.O
