number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_lookback,params_units,state
0,0.05551346297330308,2025-04-29 17:59:13.000004,2025-04-29 17:59:32.523156,0 days 00:00:19.523152,0.3129272287092099,0.0003411090293627906,62,73,COMPLETE
1,0.038456698147958074,2025-04-29 17:59:32.527192,2025-04-29 17:59:45.176127,0 days 00:00:12.648935,0.4445857569721727,0.0017608723822397456,64,80,COMPLETE
2,0.0436244937734368,2025-04-29 17:59:45.181198,2025-04-29 18:00:03.657251,0 days 00:00:18.476053,0.3983126270484053,0.00010296570492086171,55,54,COMPLETE
3,0.04870926733761324,2025-04-29 18:00:03.661541,2025-04-29 18:00:21.881363,0 days 00:00:18.219822,0.43093484016259764,0.0007476470931900142,65,55,COMPLETE
4,0.03127143216500481,2025-04-29 18:00:21.885370,2025-04-29 18:00:45.248401,0 days 00:00:23.363031,0.28509745513684637,0.0024053827799084774,58,54,COMPLETE
5,0.03718262081689653,2025-04-29 18:00:45.253523,2025-04-29 18:00:56.554318,0 days 00:00:11.300795,0.3498568564322295,0.0010562066062775987,54,80,COMPLETE
6,0.04569084963745354,2025-04-29 18:00:56.559774,2025-04-29 18:01:09.356684,0 days 00:00:12.796910,0.29615765879821093,0.0012418827094406492,56,66,COMPLETE
7,0.04851473908667947,2025-04-29 18:01:09.360322,2025-04-29 18:01:24.054846,0 days 00:00:14.694524,0.39167917560133914,0.0007762723678337776,62,64,COMPLETE
8,0.06301761725621645,2025-04-29 18:01:24.059372,2025-04-29 18:01:50.190936,0 days 00:00:26.131564,0.3468874910008062,0.00012070834871118551,65,65,COMPLETE
9,0.0633179029732327,2025-04-29 18:01:50.194434,2025-04-29 18:02:15.322026,0 days 00:00:25.127592,0.3088722416899029,0.00017053322411612011,68,61,COMPLETE
10,0.02822052876209195,2025-04-29 18:02:15.328746,2025-04-29 18:02:33.817363,0 days 00:00:18.488617,0.20288170279215506,0.004845396700085685,50,48,COMPLETE
11,0.035751840273940974,2025-04-29 18:02:33.828515,2025-04-29 18:02:42.638626,0 days 00:00:08.810111,0.20550609532514358,0.0046945136806261336,51,48,COMPLETE
12,0.0337606310190531,2025-04-29 18:02:42.644818,2025-04-29 18:02:55.143191,0 days 00:00:12.498373,0.20019877274809147,0.00497703469603998,50,50,COMPLETE
13,0.030299431492922024,2025-04-29 18:02:55.148228,2025-04-29 18:03:14.361182,0 days 00:00:19.212954,0.25399150696930173,0.002571294335649379,58,56,COMPLETE
14,0.029914481871649655,2025-04-29 18:03:14.366372,2025-04-29 18:03:34.795211,0 days 00:00:20.428839,0.2444269572535794,0.002948885156657029,59,59,COMPLETE
15,0.03661088584174341,2025-04-29 18:03:34.799272,2025-04-29 18:03:52.236792,0 days 00:00:17.437520,0.24797835950956348,0.003077491273326987,69,59,COMPLETE
16,0.049723080355688495,2025-04-29 18:03:52.240851,2025-04-29 18:04:05.908499,0 days 00:00:13.667648,0.2512233785220671,0.0004215549350015182,51,70,COMPLETE
17,0.04599471021879544,2025-04-29 18:04:05.912342,2025-04-29 18:04:15.668955,0 days 00:00:09.756613,0.48105708754948573,0.0033663663640752764,53,50,COMPLETE
18,0.03402568466949471,2025-04-29 18:04:15.674063,2025-04-29 18:04:35.999290,0 days 00:00:20.325227,0.22907395020002114,0.0016138356309767044,59,58,COMPLETE
19,0.04691514787511055,2025-04-29 18:04:36.003752,2025-04-29 18:04:58.860912,0 days 00:00:22.857160,0.27255247894623186,0.000432990769219709,61,71,COMPLETE
20,0.029194438047290203,2025-04-29 18:04:58.865356,2025-04-29 18:05:17.769678,0 days 00:00:18.904322,0.2240341224484984,0.003829253338047289,57,51,COMPLETE
21,0.03194584039078727,2025-04-29 18:05:17.774531,2025-04-29 18:05:29.653604,0 days 00:00:11.879073,0.22560916003530707,0.003962996574268739,56,48,COMPLETE
22,0.04093095270345507,2025-04-29 18:05:29.658337,2025-04-29 18:05:41.232609,0 days 00:00:11.574272,0.22380182671006127,0.0019541920597194243,53,51,COMPLETE
23,0.03504470443662116,2025-04-29 18:05:41.237730,2025-04-29 18:06:00.280447,0 days 00:00:19.042717,0.27020724067911744,0.003379832524113264,57,53,COMPLETE
24,0.036456877638758434,2025-04-29 18:06:00.284174,2025-04-29 18:06:22.477868,0 days 00:00:22.193694,0.3261842948888969,0.0025792891223343096,60,61,COMPLETE
25,0.04635455252602856,2025-04-29 18:06:22.481557,2025-04-29 18:06:30.386514,0 days 00:00:07.904957,0.20132575365163302,0.004925364115514977,52,52,COMPLETE
26,0.04410136663623009,2025-04-29 18:06:30.390915,2025-04-29 18:06:43.063963,0 days 00:00:12.673048,0.23499138698810443,0.0014016633243695289,63,48,COMPLETE
27,0.032629875936033136,2025-04-29 18:06:43.069297,2025-04-29 18:07:01.740447,0 days 00:00:18.671150,0.27538113411884324,0.0024436102116471713,60,58,COMPLETE
28,0.03061819736824983,2025-04-29 18:07:01.744673,2025-04-29 18:07:22.741509,0 days 00:00:20.996836,0.2206626575671664,0.003898014072830335,67,61,COMPLETE
29,0.04469967452622608,2025-04-29 18:07:22.745432,2025-04-29 18:07:36.494403,0 days 00:00:13.748971,0.24917454581043452,0.0009445506972257155,55,76,COMPLETE
