Date,Mkt-RF,SMB,HML,RMW,CMA,RF
01/07/1963,-0.6700,0.0200,-0.3500,0.0300,0.1300,0.0120
02/07/1963,0.7900,-0.2800,0.2800,-0.0800,-0.2100,0.0120
03/07/1963,0.6300,-0.1800,-0.1000,0.1300,-0.2500,0.0120
05/07/1963,0.4000,0.0900,-0.2800,0.0700,-0.3000,0.0120
08/07/1963,-0.6300,0.0700,-0.2000,-0.2700,0.0600,0.0120
09/07/1963,0.4500,0.0000,0.0900,0.1500,-0.0100,0.0120
10/07/1963,-0.1800,0.2000,0.0000,0.0500,-0.0900,0.0120
11/07/1963,-0.1600,0.1200,-0.2900,-0.0300,0.0700,0.0120
12/07/1963,-0.1200,0.0100,-0.0900,0.0900,0.0800,0.0120
15/07/1963,-0.6200,0.0700,-0.0300,0.1500,-0.1000,0.0120
16/07/1963,-0.0700,-0.0600,0.1300,-0.0400,-0.1000,0.0120
17/07/1963,-0.3300,-0.0800,0.1200,0.0400,0.0800,0.0120
18/07/1963,-0.5400,0.2600,0.0700,-0.0700,0.2100,0.0120
19/07/1963,-0.2300,-0.0300,-0.0600,0.1600,-0.3400,0.0120
22/07/1963,-0.7000,-0.1000,-0.3500,0.0300,-0.1400,0.0120
23/07/1963,0.0100,-0.1000,-0.1900,0.0300,-0.0900,0.0120
24/07/1963,0.4600,-0.1100,-0.0300,-0.1200,-0.2500,0.0120
25/07/1963,-0.0400,0.1400,0.2800,-0.1500,0.1300,0.0120
26/07/1963,0.3500,-0.1300,0.0700,0.0000,-0.1400,0.0120
29/07/1963,0.1100,-0.1800,0.2400,0.0300,-0.0300,0.0120
30/07/1963,0.8400,-0.2700,-0.2600,0.4800,-0.3200,0.0120
31/07/1963,-0.1300,0.1100,-0.0300,-0.1300,0.3000,0.0120
01/08/1963,-0.0800,-0.1200,-0.1300,0.1300,-0.0800,0.0110
02/08/1963,0.2900,-0.1400,0.1600,-0.0500,0.0300,0.0110
05/08/1963,0.5700,-0.4200,0.1600,0.0100,0.0800,0.0110
06/08/1963,0.6000,-0.3600,0.2500,-0.0200,-0.0400,0.0110
07/08/1963,-0.1900,0.0100,0.1800,-0.1600,0.1400,0.0110
08/08/1963,0.1400,-0.0200,-0.2400,0.2500,-0.2200,0.0110
09/08/1963,0.6000,-0.1000,-0.0200,0.1500,-0.0200,0.0110
12/08/1963,0.2400,0.2000,0.4500,-0.0900,0.3500,0.0110
13/08/1963,0.2700,-0.2400,0.0100,0.0500,-0.0400,0.0110
14/08/1963,0.3000,-0.0600,0.2100,-0.1900,0.0900,0.0110
15/08/1963,0.4300,-0.2900,0.3700,-0.1600,0.0000,0.0110
16/08/1963,0.1500,0.0700,0.0900,0.0900,-0.1900,0.0110
19/08/1963,-0.0500,-0.0100,-0.0900,-0.0800,0.0000,0.0110
20/08/1963,-0.0500,0.0100,-0.2400,0.0300,0.0900,0.0110
21/08/1963,-0.1100,0.3400,-0.1000,-0.0500,0.0800,0.0110
22/08/1963,0.3900,0.0800,0.1200,-0.1200,-0.2600,0.0110
23/08/1963,0.3400,-0.0200,0.1100,0.0400,-0.0200,0.0110
26/08/1963,0.1800,-0.1200,0.1700,0.0900,-0.2200,0.0110
27/08/1963,-0.4400,0.0900,-0.1000,0.0400,0.0900,0.0110
28/08/1963,0.7700,0.0800,0.4300,0.0600,0.2200,0.0110
29/08/1963,0.1800,0.1300,0.0000,0.1000,0.0500,0.0110
30/08/1963,0.4400,0.1500,-0.1300,0.1500,-0.2100,0.0110
03/09/1963,0.2300,0.0700,0.0700,-0.0100,0.1700,0.0140
04/09/1963,-0.0100,0.0600,-0.0600,-0.3500,0.0100,0.0140
05/09/1963,0.4700,-0.0900,0.1400,-0.0900,0.0000,0.0140
06/09/1963,-0.2700,-0.1700,0.0100,0.1400,0.0200,0.0140
09/09/1963,-0.3600,-0.2500,-0.0400,0.0900,0.1200,0.0140
10/09/1963,0.5200,-0.1300,0.4300,-0.0100,-0.1600,0.0140
