Date,Company,Price Close_lag1,Volume_lag1,Return,Mkt-RF_lag1,SMB_lag1,HML_lag1,RMW_lag1,CMA_lag1,RF_lag1
2021-01-05,AAPL.O,"129,41",143301887.0,0.0124,-1.41,0.24,0.48,-0.71,0.22,0.0
2021-01-06,AAPL.O,"131,01",97664898.0,-0.0337,0.86,1.33,0.48,0.34,0.6,0.0
2021-01-07,AAPL.O,"126,6",155087970.0,0.0341,0.79,3.18,3.91,0.01,0.58,0.0
2021-01-08,AAPL.O,"130,92",109578157.0,0.0086,1.76,0.0,-0.79,-1.47,-0.23,0.0
2021-01-11,AAPL.O,"132,05",105158245.0,-0.0232,0.51,-1.05,-1.32,-0.39,-0.44,0.0
2021-01-12,AAPL.O,"128,98",100620880.0,-0.0014,-0.52,0.56,1.24,-0.18,0.47,0.0
2021-01-13,AAPL.O,"128,8",91951145.0,0.0162,0.38,1.48,1.21,-0.45,0.43,0.0
2021-01-14,AAPL.O,"130,89",88636831.0,-0.0151,0.07,-1.02,-0.46,-0.21,-0.04,0.0
2021-01-15,AAPL.O,"128,91",90221755.0,-0.0137,-0.11,2.4,1.08,-1.03,0.47,0.0
2021-01-19,AAPL.O,"127,14",111598531.0,0.0054,-0.86,-0.75,-0.75,0.28,-0.47,0.0
2021-01-20,AAPL.O,"127,83",90757329.0,0.0329,0.92,0.74,-0.79,-0.69,0.09,0.0
2021-01-21,AAPL.O,"132,03",104319489.0,0.0367,1.26,-0.75,-1.07,0.64,-0.4,0.0
2021-01-22,AAPL.O,"136,87",120529544.0,0.0161,-0.04,-0.75,-0.96,0.83,0.39,0.0
2021-01-25,AAPL.O,"139,07",114459360.0,0.0277,-0.07,1.62,-0.09,-0.68,0.6,0.0
2021-01-26,AAPL.O,"142,92",157611713.0,0.0017,0.29,-0.3,-0.39,0.24,0.96,0.0
2021-01-27,AAPL.O,"143,16",98390555.0,-0.0077,-0.32,0.03,-0.05,0.98,1.14,0.0
2021-01-28,AAPL.O,"142,06",140843759.0,-0.035,-2.53,1.21,1.55,0.55,2.52,0.0
2021-01-29,AAPL.O,"137,09",142621128.0,-0.0374,0.92,-1.69,-0.91,-1.04,-2.3,0.0
2021-02-01,AAPL.O,"131,96",177523812.0,0.0165,-1.84,0.43,0.58,-0.76,0.4,0.0
2021-02-02,AAPL.O,"134,14",106239823.0,0.0063,1.73,0.75,-1.47,-0.24,-1.22,0.0
2021-02-03,AAPL.O,"134,99",83305367.0,-0.0078,1.48,-0.8,-1.07,-1.0,-2.19,0.0
2021-02-04,AAPL.O,"133,94",89880937.0,0.0258,0.16,0.72,0.66,-0.12,0.21,0.0
2021-02-05,AAPL.O,"137,39",84183061.0,-0.0046,1.23,0.6,0.36,-0.11,-0.23,0.0
2021-02-08,AAPL.O,"136,76",75693830.0,0.0011,0.57,0.96,-0.48,-0.72,0.42,0.0
2021-02-09,AAPL.O,"136,91",71297214.0,-0.0066,0.96,2.22,0.41,-0.93,0.7,0.0
2021-02-10,AAPL.O,"136,01",76774213.0,-0.0046,0.05,0.72,-0.21,-0.77,-0.45,0.0
2021-02-11,AAPL.O,"135,39",73046563.0,-0.0019,-0.08,-0.45,0.62,0.22,-0.02,0.0
2021-02-12,AAPL.O,"135,13",64280029.0,0.0018,0.19,-0.32,-0.46,-0.3,-0.04,0.0
2021-02-16,AAPL.O,"135,37",60145130.0,-0.0161,0.49,-0.11,0.47,-0.38,-0.03,0.0
2021-02-17,AAPL.O,"133,19",80576316.0,-0.0176,-0.14,-0.21,1.87,0.14,0.02,0.0
2021-02-18,AAPL.O,"130,84",98085249.0,-0.0086,-0.21,-0.68,0.61,0.28,-0.15,0.0
